S.N,BUSINESS_DATE,SECURITY_ID,SYMBOL,SECURITY_NAME,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE,PREVIOUS_DAY_CLOSE_PRICE,FIFTY_TWO_WEEKS_HIGH,FIFTY_TWO_WEEKS_LOW,LAST_UPDATED_TIME,LAST_UPDATED_PRICE,TOTAL_TRADES,AVERAGE_TRADED_PRICE,MARKET_CAPITALIZATION
190,2023-03-20,4951,JBLB,Jeevan Bikas Laghubitta  Bittya Sanstha Ltd,1830.0000,1855.0000,1830.0000,,429,792580.0000,1830.0000,5260.0000,1829.0000,2023-03-20T11:26:57.832072,1840.0000,12,1847.50,
191,2023-03-20,4955,MKLB,Manakamana Smart Laghubitta Bittiya Sanstha Limited,718.0000,761.0000,718.0000,,50,36665.0000,731.9000,1305.0000,702.0000,2023-03-20T11:24:56.677190,721.0000,5,733.30,
192,2023-03-20,4967,NICSF,NIC Asia Select Fund 30,7.6500,7.6500,7.6500,,100,765.0000,7.7100,9.4200,7.4000,2023-03-20T11:29:04.022723,7.6500,1,7.65,
193,2023-03-20,5982,SLI,Sanima Life Insurance Limited,398.1000,400.0000,393.0000,,252,100371.6000,403.0000,651.2000,311.5000,2023-03-20T11:34:26.410809,398.4000,21,398.30,
194,2023-03-20,8022,TPC,Terhathum Power Company Limited,428.8000,450.0000,428.8000,,172,76475.0000,437.3000,667.0000,303.9000,2023-03-20T11:25:01.505239,447.0000,7,444.62,
195,2023-03-20,8034,ENL,Emerging Nepal Limited,658.7000,658.7000,658.7000,,10,6587.0000,672.1000,1481.9000,482.0000,2023-03-20T11:25:07.935094,658.7000,1,658.70,
196,2023-03-20,8131,EHPL,Eastern Hydropower Limited,444.0000,455.0000,444.0000,,570,257382.0000,453.0000,508.0000,216.0000,2023-03-20T11:32:22.084538,449.1000,12,451.54,
197,2023-03-20,152,NHPC,National Hydro Power Company Limited,245.0000,248.0000,245.0000,,2936,723782.5000,243.0000,334.5000,176.4000,2023-03-20T11:33:29.152939,246.0000,19,246.51,
198,2023-03-20,219,UNL,Unilever Nepal Limited,20210.0000,20250.0000,20210.0000,,60,1213000.0000,20210.0000,22000.0000,16556.7000,2023-03-20T11:19:11.062590,20250.0000,2,20216.66,
199,2023-03-20,245,CFCL,Central Finance Co. Ltd.,319.0000,319.0000,319.0000,,90,28710.0000,314.5000,462.9000,237.0000,2023-03-20T11:24:31.452057,319.0000,1,319.00,
200,2023-03-20,268,SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited,780.1000,810.0000,779.1000,,160,128515.0000,795.0000,1407.0000,790.0000,2023-03-20T11:33:18.829289,809.0000,5,803.21,
201,2023-03-20,450,CORBL,Corporate Development Bank Limited,308.0000,308.0000,308.0000,,10,3080.0000,302.0000,575.0000,211.3000,2023-03-20T11:31:07.726361,308.0000,1,308.00,
202,2023-03-20,472,SADBL,Shangrila Development Bank Ltd.,297.0000,308.7000,297.0000,,254,76867.2000,297.1000,422.9000,245.0000,2023-03-20T11:35:27.556561,305.9000,8,302.62,
203,2023-03-20,2829,SMFBS,Swabhimaan Laghubitta Bittiya Sanstha Limited,1000.0000,1000.0000,986.1000,,60,59541.0000,1018.0000,1890.0000,1014.3000,2023-03-20T11:25:20.615416,990.0000,5,992.35,
204,2023-03-20,2832,ILBS,Infinity Laghubitta Bittiya Sanstha Limited,645.0000,645.0000,645.0000,,10,6450.0000,635.0000,1220.0000,617.0000,2023-03-20T11:15:24.279032,645.0000,1,645.00,
205,2023-03-20,2898,NRN,NRN Infrastructure and Development Limited,448.1000,456.0000,448.1000,,30,13591.0000,457.0000,718.8000,385.0000,2023-03-20T11:31:34.117797,455.0000,3,453.03,
206,2023-03-20,2933,KEF,Kumari Equity Fund,7.8200,7.8200,7.8200,,500,3910.0000,7.8200,10.0700,7.7300,2023-03-20T11:15:04.113719,7.8200,1,7.82,
207,2023-03-20,8031,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,310.0000,318.0000,307.5000,,588,184001.6000,312.1000,412.0000,193.3000,2023-03-20T11:34:49.796186,312.6000,37,312.92,
208,2023-03-20,8032,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,411.0000,419.2000,411.0000,,30,12466.0000,415.0000,715.0000,306.0000,2023-03-20T11:32:41.149453,416.4000,3,415.53,
209,2023-03-20,8045,GVL,Green Ventures Limited,454.9000,454.9000,441.1000,,2570,1150288.0000,464.1000,511.0000,255.1000,2023-03-20T11:32:12.903022,449.9000,35,447.58,
210,2023-03-20,8073,NICFC,NIC Asia Flexi CAP Fund,7.6600,7.7000,7.6600,,200,1536.0000,7.6800,10.0000,7.3000,2023-03-20T11:12:39.786758,7.7000,2,7.68,
211,2023-03-20,8100,SGHC,Swet-Ganga Hydropower & Construction Limited ,381.7000,389.9000,381.7000,,390,150950.0000,389.0000,411.6000,202.1000,2023-03-20T11:34:22.669779,389.9000,24,387.05,
212,2023-03-20,8123,DLBS,Dhaulagiri Laghubitta Bittiya Sanstha Limited,813.0000,825.0000,813.0000,,20,16380.0000,828.2000,1662.0000,177.7000,2023-03-20T11:14:48.229442,825.0000,2,819.00,
